twitter_id,twitter_name,twitter_screen_name,location,descriptation,URL,followers_count,followings_count,friends_count,created_at,favourites_count
1566091680,Andes Tower Hills,andestowerhills,,,,77,29,2,Wed Jul 03 16:05:12 +0000 2013,7
26343212,Angel Fire Resort,AngelFireResort,"Angel Fire, NM","With over 2000 vertical feet, served by 6 lifts, 3 terrain parks, night skiing and tubing hill, Angel Fire Resort is the place to be for families! #AngelFireNM",http://t.co/iBbghS86mW,6444,970,144,Tue Mar 24 22:34:34 +0000 2009,2757
3829977073,Antelope Butte,AntelopeButte,"Bighorn National Forest, WY",Reopening the Antelope Butte Mountain Recreation Area in northern Wyoming--providing affordable mountain recreation with a focus on youth and beginners.,https://t.co/VdNKySuZSh,131,263,1,Thu Oct 08 22:37:47 +0000 2015,15
7.94E+17,Anthony Lakes,anthonylakesmr,"Baker City, OR",A mountain ski resort with the best powder & atmosphere in the NW! Come ride with us!,https://t.co/oFyhrxdBwE,260,228,2,Thu Nov 03 04:35:57 +0000 2016,3
26335230,Ski Apache,SkiApache,"Alto, New Mexico",Ski Apache offers the best warm-weather powder skiing in the world with snowmaking 33% of the mountain. #iSkiApache #FindYourElement,https://t.co/yWmg0h7eG0,3975,148,87,Tue Mar 24 21:57:29 +0000 2009,171
62696631,Appalachian Ski Mtn.,App_Ski_Mtn,"Blowing Rock, NC","Celebrating 50 Years of Family Fun! Come ski and snowboard with us in Blowing Rock, North Carolina.",http://t.co/mgExZy5fMg,893,32,35,Tue Aug 04 02:43:31 +0000 2009,0
15934541,Arizona Snowbowl,AZSnowbowl,"High above Flagstaff, Arizona","The official Twitter page for Arizona Snowbowl in Flagstaff, AZ. Stay tuned here for updates!",https://t.co/WoLoEysmqE,13642,187,282,Thu Aug 21 18:08:15 +0000 2008,1233
46828073,Aspen Highlands,HighlandBowl,"Aspen, Colo",Aspen Highlands boasts breathtaking views and is home to the Highland Bowl offering the ultimate in-bounds backcountry rush.,http://t.co/5NoAWHAwo8,2915,216,114,Sat Jun 13 04:44:21 +0000 2009,7
89988075,Attitash Mountain,AttitashResort,"Bartlett, N.H.","In the heart of NH's White Mountains | 67 trails, 9 lifts across two peaks | Mountain Coaster | Summer Alpine Slide, Waterslides & more",https://t.co/E4ARxZyKGj,9120,1741,293,Sat Nov 14 18:10:04 +0000 2009,3060
19045182,Big Bear Mountain Resort,BigBearMtResort,Big Bear Lake,Official Twitter Account of Big Bear Mountain Resort: #BearMountain and #SnowSummit • #BearBuilt • #SummitStyle,https://t.co/X81HY3jORs,21358,1838,378,Thu Jan 15 23:31:29 +0000 2009,2587
9.94E+17,beartoothbasin,beartoothbasin,,Beartooth Basin Summer Ski Area   mostly highway conditions reports here,https://t.co/hGFVkHnYvM,104,0,2,Tue May 08 22:38:58 +0000 2018,0
19746393,Beaver Creek Resort,beavercreekmtn,"Avon, CO",The Extraordinary Awaits,https://t.co/mvTu5Yn0YK,41516,4376,892,Fri Jan 30 00:59:40 +0000 2009,1052
2894844846,Beaver Mountain,skithebeav,40000 East HWY 89 Garden City ,"Official Twitterings of Beaver Mountain. We don’t “make” snow here, it falls straight from the Heavens! #ALLnaturalSNOW",https://t.co/dU80OgFbWV,1277,398,39,Sun Nov 09 15:47:44 +0000 2014,2063
31134433,Belleayre Mountain,SkiBelleayre,"Highmount, NY",New York's Winter Snow Park.  Where the highest skiable peak meets the longest skiable trail in the Catskill Mountains.,http://t.co/Kxgo1FTb6A,2835,847,94,Tue Apr 14 14:33:31 +0000 2009,563
9.51E+17,Berkshire East Mountain Resort,berkshire_east,"Charlemont, Massachusetts",#BerkshireEastMountainResort is New England’s Premier Outdoor Adventure Center!,https://t.co/KVjh3BKndq,5,12,0,Tue Jan 09 09:39:50 +0000 2018,0
30121042,Big Sky Resort,bigskyresort,Montana,"#BigSkyResort in Big Sky, MT: your gateway to adventure & the proud home of The Biggest Skiing in America.",https://t.co/bUBZBO2ZpH,26643,724,505,Fri Apr 10 01:29:23 +0000 2009,6238
78892105,SkiBigTupper,SkiBigTupper,"Tupper Lake, NY",One of New York's most popular ski areas! Make us your destination in the Adirondacks!!,,461,0,24,Thu Oct 01 12:35:20 +0000 2009,0
370129433,Bigrock Mountain,SkiBigrockMaine,"Mars Hill, ME",#GoBig at Bigrock,http://t.co/ikNg57AYNJ,663,245,23,Thu Sep 08 14:23:13 +0000 2011,46
53253822,Bittersweet Ski Area,bittersweetmich,Michigan,,http://t.co/MQXCvsXVJs,339,20,6,Fri Jul 03 01:31:56 +0000 2009,0
74442505,Black Mountain,BlackMtnNH,"Jackson, NH","Proud to be New Hampshire's oldest ski area! A New England Classic, celebrating our 84th winter season! #JacksonNH

2019-2020 Season Passes Now on Sale!",https://t.co/AsxlOmGneO,2032,307,71,Tue Sep 15 13:09:40 +0000 2009,171
1009593205,Black Mountain of Maine,BlackMountainME,"Rumford, ME","Black Mountain Ski Resort in Rumford, Maine. We offer affordable family fun. Boasting 45 trails & glades. New England's best ski value #backatblack",https://t.co/JBrGpYo4WS,360,235,12,Thu Dec 13 19:48:37 +0000 2012,285
2789197900,Blackhawk Ski School,SkiBlackhawk,10222 Blackhawk Rd. Middleton,"Teaching young people life-long competitive, outdoor sports. We offer four levels of hands-on ski instruction for children.",http://t.co/H6on87NzNC,79,10,1,Sun Sep 28 15:39:52 +0000 2014,5
85319382,Blue Knob Resort,BlueKnob,Central PA,"Blue Knob All Seasons Resort - Pennsylvania's Best Kept Secret, Ski It To Believe It.",http://t.co/yC3fAUnWPG,443,3,23,Mon Oct 26 13:51:04 +0000 2009,0
29778407,Blue Mountain Resort,BlueMtnResort,"Blue Mountains, ON, Canada",The Official Blue Mountain Resort Twitter Page,https://t.co/CR6ollDied,33375,14779,341,Wed Apr 08 18:11:43 +0000 2009,6338
74201022,Ski Bluewood,skibluewood,"Dayton, WA","Short lift lines, expertly groomed slopes, and some of the best tree skiing/riding in the NW. See you on the mountain!",http://t.co/3r5Q3X7keE,1090,259,31,Mon Sep 14 16:51:07 +0000 2009,27
17271484,Bogus Basin,BOGUSBASIN,"Boise, ID",A non-profit mountain dedicated to providing our community with access to fun and affordable year-round mountain recreation and education.,https://t.co/ekHa5qdYpu,7994,202,228,Sun Nov 09 17:50:41 +0000 2008,1636
63158113,Bolton Valley,BoltonValley,"Bolton Valley, VT","A convenient, classic ski area in Vermont w/a close-knit family atmosphere and the best sunset skiing this side of the Rocky Mtns.",http://t.co/XCSKf80sKL,5693,331,212,Wed Aug 05 15:12:31 +0000 2009,884
138528530,Ski Bousquet,skibousquet,"Pittsfield, MA","Bousquet Ski Area and Summer Fun Park. 200 acres, 750 vert. ft., 24 trails, 3 lifts, waterslides, go-carts & 1 fun Twitter account",http://t.co/NvvI88UCIU,111,9,6,Thu Apr 29 20:22:05 +0000 2010,0
612685910,Boyne Highlands,Boyne_Highlands,"Harbor Springs, Michigan",A northern Michigan mountain & golf resort with a rich tradition of providing guests with a timeless retreat.,http://t.co/3SRXaUF3Re,3026,499,48,Tue Jun 19 16:44:24 +0000 2012,302
3598625964,Breckenridge Ski,BreckSkiGolf,,,,7,8,0,Thu Sep 17 22:51:38 +0000 2015,0
16274690,Bretton Woods,bretton_woods,"Bretton Woods, NH",Grand indoors. Great outdoors.,http://t.co/XBo8yIoVCH,9312,526,345,Sat Sep 13 18:50:12 +0000 2008,776
19424229,Bridger Bowl,BridgerBowl,"Bozeman, Montana","Bozeman's homegrown, nonprofit community ski area since 1955. Offering 2,600 vertical feet, 2,000 acres of amazing terrain, 8 Chair lifts and 3 plus day lodges.",http://t.co/T1bQdk8FJP,7149,72,182,Sat Jan 24 00:20:26 +0000 2009,94
164331175,Bristol Mountain,BristolMountain,"Rochester, NY",Alpine Race · Alpine Freestyle · Alpine Moguls · Bristol Mountain  Race Club · Next Snow Search · Nordic · Race Results · Special Events,http://t.co/PbQiF98NJW,2382,465,92,Thu Jul 08 16:22:09 +0000 2010,0
28603543,Bromley Mountain,BromleyMountain,"Peru, VT","Sun-in-your-face skiing, boarding, hiking, sliding, climbing, gliding and adventuring through all 4 seasons of Vermont. #MySunMountain",https://t.co/EP1u7sRQpj,4470,361,146,Fri Apr 03 16:58:29 +0000 2009,841
23826103,Brundage Mountain,BrundageMtn,"Brundage Mountain, Idaho",The Best Snow In Idaho!,http://t.co/9RYCMDHHHh,3340,435,97,Wed Mar 11 20:43:12 +0000 2009,307
65491354,Bryce Resort,BryceResort,"Bryce Resort, VA","#bryceresort is a family-friendly, four-season resort offering all things adventure, just two hours west of Washington, D.C.",http://t.co/QcNmgQBzlx,888,79,24,Thu Aug 13 22:48:23 +0000 2009,57
54642047,Buck Hill,buckhillmn,"Burnsville, Minnesota","Skiing, Snowboarding, Tubing, and Mountain Biking in Burnsville, MN. Come and be outside yourself!",https://t.co/ISWYk3wN02,3117,617,115,Tue Jul 07 19:00:31 +0000 2009,692
271255623,ski buckhorn,skibuckhorn,Angeles National Forest,,http://t.co/WuWFovm1ao,7,4,0,Thu Mar 24 04:33:56 +0000 2011,0
2398819873,Buffalo Ski Club,buffaloskiclub,"Colden, NY 14033","SKI MORE. DRIVE LESS. Buffalo Ski Club is the area’s closest, most affordable and family-friendly skiing and snowboarding facility.",https://t.co/lWlVdHUkfj,748,929,8,Thu Mar 20 03:01:27 +0000 2014,24
114303624,Burke Mountain,skiburke,"East Burke, Vermont","Nestled in the northeastern corner of VT and serenity of East Burkes countryside, Burke is a playground for adventure. Ski/Ride, Bike, Hike. Discover your story",https://t.co/oyNBGtMOxS,3345,562,106,Sun Feb 14 23:03:56 +0000 2010,228
87767695,Caberfae Peaks,CaberfaePeaks,"Cadillac, Michigan","The BIG HILLS, with the BEST SNOW, in YOUR BACKYARD",http://t.co/TjNRTvzo2q,1891,6,26,Thu Nov 05 19:53:41 +0000 2009,20
374013881,Camden Snow Bowl,camdensnowbowl,"Camden, Maine","A great ski area on the coast of Maine with 4 lifts, 15 trails and glades.  You can enjoy great views of Penobscot Bay from the top of the Chairlift!",http://t.co/PTNLFEepNg,421,3,18,Thu Sep 15 15:18:12 +0000 2011,0
22296450,Camelback Mountain,skicamelback,"Pocono Mountains, PA",Ski & Ride 37 of the best trails in the #PoconoMtns! Home of the Biggest #Snowtubing Park in the USA! Voted the #1 Resort in PA 4 years in a row! #MyCamelback,https://t.co/Rn6KuTwWNc,7914,479,172,Sat Feb 28 21:16:52 +0000 2009,4125
72880286,Cannon Mountain,cannonmountain,"Franconia Notch State Park, NH","Cannon Mountain - The Best Value in the East! Located at exit 34B & 34C off I-93.  Official Twitter Account for Cannon Mountain, Div. Of Parks, State of NH.",http://t.co/SUOOvQAu8b,5279,151,107,Wed Sep 09 15:39:30 +0000 2009,38
201849232,Cannonsburg Ski Area,cannonsburgski,"Belmont, Michigan","Ski & Snowboarding Spot located near Grand Rapids, Michigan. Check us out on Facebook at http://t.co/ZoXsA9KtNl",http://t.co/Wd29hFJhvb,2986,132,25,Tue Oct 12 19:19:40 +0000 2010,4184
82121906,Cascade Mountain,CascadeMountain,"Portage, WI",Where Kids Ski Free!,http://t.co/SB3xRdE9Zf,1697,40,58,Tue Oct 13 15:37:23 +0000 2009,22
26033178,Cataloochee Ski Area,skiCataloochee,"Maggie Valley, North Carolina",Great Skiing & Snowboarding in the Great Smokies,http://t.co/5TB3grXAgT,3376,68,113,Mon Mar 23 16:26:56 +0000 2009,75
59192140,Catamount Ski Area,CatamountSki,78 Catamount Road ,,http://t.co/FQFA4CwNOb,207,20,11,Wed Jul 22 17:43:23 +0000 2009,0
228072489,Cazenovia Ski Club,skicaz,"Cazenovia, NY","Is a member owned and operated hill with most challenging and diverse terrain in CNY. We invite anyone who enjoys skiing, parties and a bit of work to join!",http://t.co/5ORcFwqbxP,113,8,3,Sat Dec 18 16:48:49 +0000 2010,0
7.21E+17,Cherry Peak Resort,ResortPeak,"Richmond, UT",Year round fun @ Cherry Peak Resort! We have everything from skiing to horseback riding to a redneck water slide. Check out our website for more information.,https://t.co/H9a31VdvTD,131,558,2,Fri Apr 15 02:00:56 +0000 2016,32
61210195,Chester Bowl,chester_bowl,1801 Skyline Parkway Duluth,"Chester Bowl Park, ski hill, kids programs in Duluth, MN.",,720,7,10,Wed Jul 29 14:43:14 +0000 2009,0
29276931,Chestnut Mountain,ChestnutMtn,"Galena, IL","Only in the Midwest will you find such an unexpected diamond in the rough. High above the Mississippi, great skiing & boarding.",https://t.co/982NdlWYWd,2138,270,66,Mon Apr 06 19:49:29 +0000 2009,13
55384887,China Peak,China_Peak,"Lakeshore, California",Central California's premier ski and snowboard resort.  Located 65 miles NE of Fresno at Huntington Lake.,http://t.co/K9dbIYuHNG,2997,696,80,Thu Jul 09 22:31:01 +0000 2009,69
460732983,Christie Mountain,ChristieMtn,"Bruce, WI","Christie Mountain has skiing, snowboarding, & tubing; located 8 miles northwest of the intersection of highways 8 and 40 on Hwy O at Bruce, WI.",http://t.co/JCRZ6GrF5V,157,242,6,Wed Jan 11 02:19:00 +0000 2012,0
104018186,Christmas Mountain,christmasmounta,Wisconsin Dells Wisconsin,Premier golf & ski resort. Enjoy the best 27-hole championship golf courses & a pristine groomed hill for downhill & cross country skiing in the winter.,http://t.co/spPDiAx0xK,365,76,17,Tue Jan 12 00:40:13 +0000 2010,21
331120485,Clear Fork Resort,CLEAR_FORK_SKI,"Butler, Ohio ",,http://t.co/YwuQnWX16G,66,6,0,Thu Jul 07 17:41:49 +0000 2011,0
118179576,Cloudmont Ski Resort,CloudmontAL,"Mentone, Alabama",The southeastern most place to ski and board in the United States! SkiBama!,http://t.co/ucV7CdGCc4,191,81,4,Sat Feb 27 21:15:03 +0000 2010,70
469044971,Cochran Ski Area,CochranSkiArea,910 Cochran Rd ,Not For Profit Ski Area 501 (C) (3),http://t.co/cj6o9kHicN,107,30,8,Fri Jan 20 05:18:36 +0000 2012,1
9.61E+17,Cockaigne Resort,CockaigneResort,Cherry Creek Ny,"Four Season Resort located in Cherry Creek, New York. Skiing, snowboarding, snowmobiling, and the best bar in the area ❄️⛷🎿🏂",https://t.co/Th8uclas6J,132,32,0,Wed Feb 07 23:03:41 +0000 2018,9
94274695,Coffee Mill Ski Area,coffeemillski,"Wabasha, Minnesota",Welcome To Coffee Mill Ski & Snowboard Resort - Minnesota's Ski & Snowboard Hot Spot with the longest vertical drop South of Duluth!,http://t.co/QAX4hYbC,135,16,7,Thu Dec 03 06:55:03 +0000 2009,1
96790384,Ski Cooper Snow,skicoopersnow,"Leadville, Colorado","The new-snow report for Ski Cooper, Colorado, from @ColoradoSnow.",http://t.co/dlDLTquaGc,300,172,17,Mon Dec 14 16:20:51 +0000 2009,0
330413649,Cooper_Spur,Cooper_Spur,"Mt. Hood, Oregon",,http://t.co/e05oyfN1sX,158,3,3,Wed Jul 06 15:48:09 +0000 2011,0
7.20E+17,Cooper Mountain Ale,coopermountain,,,,6,13,0,Mon Apr 11 20:04:59 +0000 2016,0
43333106,Cranmore Mountain,CranmoreMtn,North Conway NH,North Conway's hometown ski mountain since 1937!  Instagram: cranmoremountain • Snapchat: cranmoremtn • #MyCranmore,https://t.co/PlQe1DNDks,6287,487,204,Fri May 29 13:53:21 +0000 2009,804
40305346,Crested Butte,skicrestedbutte,"Crested Butte, Colorado",There are few places remaining that can be called a true Colorado ski town. #crestedbutte #onlyincrestedbutte #skicb #ridecb #burythebutte,https://t.co/v63tS2Pm7q,22621,674,543,Fri May 15 18:52:17 +0000 2009,4341
9208952,Crotched Mountain,CROTCHED_MTN,"Bennington, New Hampshire","Crotched Mountain is More Fun per Hour, maximizing your fun on snow is what we pride ourselves in! | Home to the Rocket and Midnight Madness",http://t.co/Lgv32e7FHY,3487,209,163,Tue Oct 02 16:04:28 +0000 2007,699
17597754,Crystal Mountain,CrystalMountain,"Thompsonville, Michigan","Four-season ski, golf & spa resort in northwest lower Michigan. Located near Sleeping Bear Dunes National Lakeshore, Lake Michigan, Frankfort & Traverse City.",https://t.co/yqTA4bBWVN,7763,2786,230,Mon Nov 24 18:39:42 +0000 2008,1086
21913139,Crystal Mountain,CrystalMt,WA - Next to Mt. Rainier,"Washington's largest ski resort with 2,600 acres of pure mountain fun!",https://t.co/5r4pggd5id,17401,1388,408,Wed Feb 25 20:22:52 +0000 2009,2718
16739202,Deer Valley Resort,Deer_Valley,"Park City, UT","Tucked away in Park City, Utah, Deer Valley Resort is the premier ski destination in the United States. #SkiTheDifference",https://t.co/UQLz7Js9Kc,20337,580,317,Tue Oct 14 15:05:26 +0000 2008,13003
2546884088,Detroit Mountain,DetroitMountain,"Detroit Lakes, MN",,https://t.co/szVek80nqH,1224,427,10,Wed Jun 04 21:44:10 +0000 2014,246
73682793,Devil's Head,DevilsHead,S6330 Bluff Road,The latest from the hill...,http://t.co/6INPfrSx3R,882,138,40,Sat Sep 12 16:53:35 +0000 2009,186
19164027,Diamond Peak,diamondpeak,"Incline Village, Lake Tahoe","Ski Resort in Incline Village, NV on the North Shore of Lake Tahoe serving up amazing views, great value, family fun and pow stashes for days.",http://t.co/d8bZXDGplG,6444,2633,229,Mon Jan 19 00:28:19 +0000 2009,147
2223365070,Diamond Peak,DiamondPeakMt,"2429 N. Highway 162• Eden, UT","Local Ski, Snowboard & Bike Shop in Ogden Valley come check us out!",https://t.co/EjVxKnFl7X,365,1625,3,Sat Nov 30 16:19:25 +0000 2013,41
290331750,Discovery Ski Area,DiscoverySki,Southwest Montana,"A family owned ski area featuring no lift lines, authentic ski bums, great terrain for all abilities and some of the steepest lift served skiing in the US!",http://t.co/4pi4XRJwOx,1112,62,22,Sat Apr 30 03:27:53 +0000 2011,24
26807232,Dodge Ridge,DodgeRidge,"Pinecrest, CA","Resort Opening: 1950  Vertical Drop: 1,600 ft.  Summit Elevation: 8,200 ft.  Base Elevation: 6,600 ft.  862 Skiable Acres  67 Trails  12 Lifts",http://t.co/rJ2gLXbTO6,1284,83,36,Thu Mar 26 18:06:31 +0000 2009,21
14480521,Sun Valley Resort,sunvalley,"Sun Valley, Idaho USA","America's premier all season mountain resort. Skiing, Snowboarding, Nordic Skiing, Golf, MT Biking, Summer Recreation and more.",https://t.co/UT4I6mShCb,21389,2523,483,Tue Apr 22 21:11:49 +0000 2008,3674
9.11E+17,Dry Hill Ski Area,DryHillSkiArea,"Watertown, NY","Since 1960 Dry Hill Ski Area has been Watertown's favorite Family Ski, Snowboard & Tubing Area.",https://t.co/feV3urUBJW,43,163,0,Fri Sep 22 17:18:56 +0000 2017,0
195752070,Eagle Point,SkiEaglePoint,"Beaver, UT","400+ Acres, 5 lifts, 40 runs, pipe & terrain park, tubing hill, backcountry terrain!Only 3.5hrs to LV or SLC, just outside of Beaver, UT. Open daily 9:30-4:30.",http://t.co/vr6XLdBLgm,1067,44,51,Mon Sep 27 14:04:13 +0000 2010,0
7.06E+17,Eagle Rock Resort,EagleRockResort,"Hazleton, PA","Eagle Rock is a private resort community in Hazleton, PA.",https://t.co/iz51IHkk0m,86,9,2,Fri Mar 04 16:49:39 +0000 2016,6
1908573858,Eaglecrest Ski Area,SkiEaglecrest,"Juneau, AK","Come to Eaglecrest, Juneau's Winter Playground for a great adventure! Share your posts with @SkiEaglecrest",https://t.co/6oekHLSLQ6,526,240,16,Thu Sep 26 17:22:41 +0000 2013,446
96054722,Echo Mountain Snow,echosnow,"Evergreen, Colorado","The Echo Mountain new-snow report, from @ColoradoSnow.",http://t.co/nccnHJb67D,170,167,2,Fri Dec 11 04:15:38 +0000 2009,0
2901072502,ElkMountainPA,ElkMountainSki,1000 ft of vertical excitement,344 Elk Mountain Rd  Union Dale PA  18470,,765,143,9,Mon Dec 01 18:56:08 +0000 2014,0
108410411,Fairmont Hot Springs,FairmontMontana,"Montana, USA","Located in beautiful S.W. Montana, Fairmont Hot Springs is a full service resort offering the best of Montana all in one place. #FairmontHotSprings #Fairmont",http://t.co/X1Yvy8Ctn5,608,291,13,Mon Jan 25 21:26:19 +0000 2010,554
2237944482,Gladstone Ski Hill,GladstoneSkiHil,"Gladstone, MI",Official Twitter account of The Gladstone Ski Hill. Tag your tweets and photos: @gladstoneskihill #gshred,http://t.co/Ln6R3uoqRG,94,264,0,Mon Dec 09 17:09:43 +0000 2013,16
461372353,Gore Mountain,GoreMountain,North Creek NY,Gore Mountain is a four peak #ski resort located in the beautiful #Adirondacks offering 2537' vertical feet and the most terrain in #NewYork state!,http://t.co/lLCFNHRz5Q,3306,143,45,Wed Jan 11 18:46:56 +0000 2012,839
41273601,Granby Ranch,GranbyRanch,"Granby, Colorado","Granby Ranch is a four-season mountain community with a skiing, mountain biking, golfing, fishing, full-service restaurant, and real estate offerings.",http://t.co/nZsJru13NT,1944,475,108,Wed May 20 02:17:23 +0000 2009,579
37004772,Grand Geneva Resort & Spa,Grand_Geneva,"Lake Geneva, WI","Retreat away from the noise of everyday life to our Four Diamond 1,300-acre Wisconsin countryside resort.",http://t.co/oF8UyKbzB0,5082,2758,163,Fri May 01 18:19:46 +0000 2009,1754
20009055,Grand Targhee Resort,grandtarghee,"Alta, WY",Official Grand Targhee Resort Twitter. A year round resort situated on the western slopes of the Tetons! Over 500 inches of annual snowfall. #targheebound,http://t.co/0SdIN3nr2X,12857,1101,381,Tue Feb 03 22:18:02 +0000 2009,1478
84344055,Granite Gorge,granitegorge,"Keene/Roxbury, NH","Whether it's Alpine or X-C Skiing, Snowboarding, Tubing, or Snowshoeing Granite Gorge located on Route 9 in Keene/Roxbury, NH has something for everyone!",http://t.co/suArToOjvW,586,25,38,Thu Oct 22 14:57:17 +0000 2009,0
944757110,Granite Peak Parks,GranitePeakPark,,#2 park in the midwest.,,346,61,4,Mon Nov 12 22:57:23 +0000 2012,26
23654118,Granlibakken Tahoe,Granlibakken,North Lake Tahoe,"Family resort, lodge & meetings/convention center - Lake Tahoe. Check out our meetings & lodging packages. Tahoe City, CA. Your spot for affordable family fun!",http://t.co/sNgXAmG2Ob,1481,1276,50,Tue Mar 10 20:50:08 +0000 2009,837
88966757,GreekPeakMtnResort,GreekPeakResort,New York - Fingerlakes Region,Stay & play in luxury accommodations nestled in an Adirondack atmosphere. Enjoy a state of the art indoor waterpark and international spa.,http://t.co/NHn2KEo5Q2,1450,742,54,Tue Nov 10 16:45:39 +0000 2009,1
43549813,Gunstock Mountain Resort,Gunstockmtn,"Gilford, NH",Year round outdoor adventure just 90 minutes from Boston. Boasting epic views and some of the longest ziplines in the country!,http://t.co/yictpnS988,6028,2082,178,Sat May 30 16:15:20 +0000 2009,3849
21450626,H2O Guides,H2OGuides,"Valdez, AK","The best Alaska Heli Skiing experience, guided by freeskiing legend Dean
Cummings. Access the Goods https://t.co/tTRq071Hos",http://t.co/DAFqWwaGgg,344,332,9,Sat Feb 21 00:35:06 +0000 2009,65
67356795,Hanson Hills,Hansonhills,"Grayling, Michigan","Hanson Hills Recreation Area: Downhill Skiing, Nordic Skiing, Tubing, Disc Golf, Mt. Bike Trails, Playground, Softball Fields, Picnic Area.",http://t.co/eDCDoSBpb2,94,23,5,Thu Aug 20 16:43:42 +0000 2009,0
11810572,SkiHeavenly,skiheavenly,South Lake Tahoe,Heavenly is Lake Tahoe’s premier winter and summer playground.,https://t.co/h1G1gl9sHe,38311,4541,887,Thu Jan 03 19:41:10 +0000 2008,2519
7.79E+17,Hesperus Ski Area,ski_hesperus,"Hesperus, CO",We're getting ready to open for the '18-19 season. Check back soon for updates!,https://t.co/H23f3YCkow,111,210,5,Wed Sep 21 18:10:28 +0000 2016,18
557733726,Hidden Valley Resort,HVResortPA,"Hidden Valley, PA","I am the ideal outdoor destination for families. At Hidden Valley Resort, Families Are First!",https://t.co/aVWbfJSryX,3566,328,42,Thu Apr 19 11:54:47 +0000 2012,1269
898755204,Hillberg Ski Area,HillbergSkiArea,JBER,,http://t.co/2yg8nA7NJd,36,2,1,Tue Oct 23 00:27:51 +0000 2012,0
80691918,Hogadon Basin,hogadonbasin,"Casper, WY",Your family's year round playground,http://t.co/qcixC6KcMA,139,21,3,Wed Oct 07 22:01:23 +0000 2009,8
27705733,Holiday Valley,holidayvalley,"Ellicottville, NY",Your favo(u)rite NY 4 Season resort since 1958. We are #onedaycloser Instagram | @holidayvalley,https://t.co/Dy5rwnAYGf,14537,588,200,Mon Mar 30 19:06:44 +0000 2009,2408
34595795,HoliMont,HoliMont,"Ellicottville, NY",North America’s largest private ski and snowboard area devoted to family snowsports adventures.,https://t.co/cBHP02cTTg,2419,697,43,Thu Apr 23 12:15:20 +0000 2009,347
11388972,Homewood Mountain,skihomewood,"Lake Tahoe, California",280 steps from lift-to-lake gives us an unbeatable lakeside skiing experience. See first-hand why Homewood is Where the Mountains Meet the Lake.,http://t.co/B2alPryWsI,7969,727,268,Fri Dec 21 00:02:21 +0000 2007,745
22205318,Hoodoo Ski Area,HoodooSki,Central Oregon,"Hoodoo Family Recreation manages Hoodoo Ski Area, Hoodoo's Crescent Lake Resort, four RV parks and hundreds of USFS campgrounds in the Pacific Northwest!",https://t.co/VLhf2xUyLZ,2121,147,91,Fri Feb 27 23:21:48 +0000 2009,80
8.51E+17,Howelsen Hill,HowelsenHillSB,"Steamboat Springs, CO","The country’s oldest continuously operating ski area, running since 1915!                                           #HowelsenHill",,234,336,4,Mon Apr 10 15:51:42 +0000 2017,430
22947315,Huff Hills Ski Area,HuffHills,"Mandan, ND","Loves to ski and snowboard, largest ski area in ND!",,725,113,41,Thu Mar 05 17:25:21 +0000 2009,37
